model_id,scenario_id,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc,incumbent_mae,mae_ratio_vs_incumbent
stock_node_gwnet_noise_aug_l8,low_liquidity_q10,270,0.005241546711143298,0.04563301938420508,0.07239852699567373,46.968659021128474,0.4777777777777778,0.39285714285714285,0.4954954954954955,0.43824701195219123,-0.03849934538933282,0.045648255949728815,0.9996662180141008
stock_node_gwnet_noise_aug_l8,four_week_drawdown_q10,279,0.0056317868234960645,0.052996013195805616,0.0750452318505051,131.64476783649872,0.5017921146953405,0.25,0.12612612612612611,0.16766467065868262,-0.15137334384081108,0.053025689371220416,0.9994403434303881
stock_node_gwnet_noise_aug_l8,feature_noise_sigma_005,4500,0.0021368957440408443,0.031634179058951085,0.04622656967633273,89.36567540059355,0.562,0.5,0.18214104515474377,0.26701375976199326,0.054448752805894014,0.031636002855158885,0.9999423506118599
stock_node_gwnet_noise_aug_l8,node_mask_10pct,4500,0.0021408774141683,0.031681616259924425,0.04626961653362063,84.53474549741046,0.5615555555555556,0.4985507246376812,0.17453069507864027,0.25854941751221344,0.051936919782729074,0.03167606321555868,1.000175307276285
stock_node_gwnet_noise_aug_l8,latest_week_feature_mask,4500,0.002121554973276847,0.03190498940741431,0.046060340568398396,61.78433245245103,0.5622222222222222,0.5011764705882353,0.1080669710806697,0.17779632721202004,0.04112262273111561,0.03190123599870788,1.0001176571561863
stock_node_gwnet_feature_mask_l8,normal_unperturbed,4500,0.002137511880311241,0.0316271038775841,0.04623323350482033,88.14640707960636,0.5664444444444444,0.5129533678756477,0.2009132420091324,0.2887349617207437,0.06874745684115198,0.03162162511826182,1.0001732598910331
stock_node_gwnet_feature_mask_l8,negative_return_tail_q10,255,0.010398819842699879,0.09081414477877764,0.10197460391048292,0.9060233485503473,0.8823529411764706,0.0,0.0,0.0,0.0,0.09123649389757267,0.9953708313334664
stock_node_gwnet_feature_mask_l8,positive_return_tail_q90,225,0.016109463389205922,0.11964625286268316,0.12692306090386382,1.0685421354701752,0.12444444444444444,1.0,0.12444444444444444,0.22134387351778656,0.0,0.11936136710772852,1.0023867501006212
stock_node_gwnet_feature_mask_l8,low_liquidity_q10,270,0.0052472903584764264,0.0456623165980591,0.07243818301473627,51.8112691977287,0.4777777777777778,0.3972602739726027,0.5225225225225225,0.4513618677042801,-0.030545365112747677,0.045648255949728815,1.0003080215889466
stock_node_gwnet_feature_mask_l8,four_week_drawdown_q10,279,0.005643973825421162,0.05308387756756348,0.07512638568053945,137.32089718723435,0.4874551971326165,0.22413793103448276,0.11711711711711711,0.15384615384615385,-0.18181703941360255,0.053025689371220416,1.0010973586017091
stock_node_gwnet_feature_mask_l8,feature_noise_sigma_005,4500,0.0021382066337982133,0.031641644709531916,0.046240746466706326,90.64986138049741,0.5671111111111111,0.5149156939040207,0.20142059868087264,0.28956965718453687,0.07049214838608173,0.031636002855158885,1.0001783365110586
stock_node_gwnet_feature_mask_l8,node_mask_10pct,4500,0.0021423889772295103,0.03168931025574037,0.04628594794567256,85.99511814589962,0.5606666666666666,0.49604221635883905,0.19076610857432774,0.27555881275192373,0.05265280177616079,0.03167606321555868,1.0004182034898574
stock_node_gwnet_feature_mask_l8,latest_week_feature_mask,4500,0.0021224283167912573,0.03190819974355365,0.04606982002125966,61.79712454886759,0.5651111111111111,0.5132075471698113,0.13800101471334347,0.21751299480207917,0.05538585866973481,0.03190123599870788,1.0002182907535635
naive,high_volatility_q90,87,0.0074186526752849456,0.06421237851388688,0.08613160090979934,1.0,0.5862068965517241,0.5862068965517241,1.0,0.7391304347826086,0.0,0.0666432093286519,0.9635247035781642
frets_return_l4__fixed_shrink_a075,high_volatility_q90,87,0.007355440168951171,0.06411775520731074,0.08576386283832586,1.3094444693830856,0.47126436781609193,0.6190476190476191,0.2549019607843137,0.3611111111111111,0.03761259492590532,0.0666432093286519,0.9621048543912876
stock_node_gwnet_fixed_industry_l8,high_volatility_q90,87,0.0077770212582811095,0.0666432093286519,0.08818742120212558,1.5166897237173542,0.41379310344827586,0.5,0.0392156862745098,0.07272727272727272,-0.03842517680040898,0.0666432093286519,1.0
stock_node_gwnet_tail_weighted_l8,high_volatility_q90,87,0.007815228837432582,0.0666376544302283,0.08840378293621028,1.5353871900333318,0.41379310344827586,0.5,0.058823529411764705,0.10526315789473684,-0.04763849587291912,0.0666432093286519,0.9999166471951222
stock_node_gwnet_noise_aug_l8,high_volatility_q90,87,0.007780798415923092,0.06665336458712333,0.08820883411497452,1.5167791024791994,0.42528735632183906,0.6,0.058823529411764705,0.10714285714285714,0.006915490412967198,0.0666432093286519,1.0001523824943865
stock_node_gwnet_feature_mask_l8,high_volatility_q90,87,0.00780301319770923,0.06683685841349667,0.08833466588893191,1.5452835108159033,0.41379310344827586,0.5,0.0392156862745098,0.07272727272727272,-0.03842517680040898,0.0666432093286519,1.0029057586931291
