scored_rows,accuracy,balanced_accuracy,mcc,macro_precision,macro_recall,macro_f1,ordinal_mae,confusion_matrix,precision_down,recall_down,f1_down,precision_neutral,recall_neutral,f1_neutral,precision_up,recall_up,f1_up,brier,multiclass_log_loss,ece_10bin,mean_confidence,mean_entropy,predicted_prevalence_down,predicted_prevalence_neutral,predicted_prevalence_up,observed_prevalence_down,observed_prevalence_neutral,observed_prevalence_up,key_coverage,valid_target_coverage,max_probability_sum_error,qualified_weeks,mean_weekly_spearman_ic,median_weekly_spearman_ic,ic_standard_deviation,icir_annualized,positive_ic_week_rate,mean_top_bottom_decile_h4_spread,positive_top_bottom_week_rate,minimum_universe_compliance,model_id,fold_id
5481,0.12205801860974275,0.3333333333333333,0.0,0.04068600620324758,0.3333333333333333,0.07252032520325204,0.8779419813902573,"[[0, 2398, 0], [0, 669, 0], [0, 2414, 0]]",0.0,0.0,0.0,0.12205801860974275,1.0,0.21756097560975612,0.0,0.0,0.0,1.7558839627805085,30.32304178294293,0.8779419813902553,0.999999999999998,7.129799883907155e-14,0.0,1.0,0.0,0.4375114030286444,0.12205801860974275,0.44043057836161287,1.0,0.8985245901639344,0.0,0,,,,,,,,1.0,NAIVE_NEUTRAL,REV2_RO_05
5415,0.13647276084949214,0.3333333333333333,0.0,0.045490920283164045,0.3333333333333333,0.0800563319250352,0.8635272391505079,"[[0, 2330, 0], [0, 739, 0], [0, 2346, 0]]",0.0,0.0,0.0,0.13647276084949214,1.0,0.2401689957751056,0.0,0.0,0.0,1.72705447830101,29.825174223933946,0.8635272391505059,0.999999999999998,7.129799883907155e-14,0.0,1.0,0.0,0.43028624192059095,0.13647276084949214,0.4332409972299169,1.0,0.8931222167243938,0.0,0,,,,,,,,0.9444444444444444,NAIVE_NEUTRAL,REV2_RO_06
5859,0.44922341696535245,0.3333333333333333,0.0,0.14974113898845082,0.3333333333333333,0.20665017862050014,0.9962450930192865,"[[0, 0, 2610], [0, 0, 617], [0, 0, 2632]]",0.0,0.0,0.0,0.0,0.0,0.0,0.44922341696535245,1.0,0.6199505358615004,0.5899534097514846,0.960669728862659,0.01584939123523693,0.4333740257301155,0.9948480874764485,0.0,0.0,1.0,0.445468509984639,0.10530807305000853,0.44922341696535245,1.0,0.9451524439425714,0.0,0,,,,,,,,1.0,NAIVE_PRIOR,REV2_RO_01
5540,0.4490974729241877,0.3333333333333333,0.0,0.1496991576413959,0.3333333333333333,0.2066101976415878,0.9945848375451264,"[[0, 0, 2458], [0, 0, 594], [0, 0, 2488]]",0.0,0.0,0.0,0.0,0.0,0.0,0.4490974729241877,1.0,0.6198305929247634,0.5908676108396661,0.9622585189523066,0.013981313635510861,0.43511615928867686,0.9914863487199279,0.0,0.0,1.0,0.44368231046931406,0.10722021660649819,0.4490974729241877,1.0,0.8974566661266807,0.0,0,,,,,,,,1.0,NAIVE_PRIOR,REV2_RO_02
5511,0.44456541462529486,0.3333333333333333,0.0,0.14818847154176495,0.3333333333333333,0.20516685508520704,0.9969152603883142,"[[0, 0, 2433], [0, 0, 628], [0, 0, 2450]]",0.0,0.0,0.0,0.0,0.0,0.0,0.44456541462529486,1.0,0.6155005652556211,0.594740898234126,0.9696918284260504,0.007312151887846452,0.4372532627374484,0.986192401111145,0.0,0.0,1.0,0.44148067501360916,0.11395391036109599,0.44456541462529486,1.0,0.8985814446437307,0.0,0,,,,,,,,1.0,NAIVE_PRIOR,REV2_RO_03
5476,0.4543462381300219,0.3333333333333333,0.0,0.15144874604334063,0.3333333333333333,0.20827055081198728,0.9943389335281227,"[[0, 0, 2457], [0, 0, 531], [0, 0, 2488]]",0.0,0.0,0.0,0.0,0.0,0.0,0.4543462381300219,1.0,0.6248116524359618,0.5841602878941962,0.948534499934559,0.016314909009583878,0.438031329120438,0.9851264445364104,0.0,0.0,1.0,0.44868517165814464,0.09696859021183346,0.4543462381300219,1.0,0.8968227972486079,0.0,0,,,,,,,,1.0,NAIVE_PRIOR,REV2_RO_04
5481,0.44043057836161287,0.3333333333333333,0.0,0.14681019278720428,0.3333333333333333,0.20384209415241714,0.9970808246670315,"[[0, 0, 2398], [0, 0, 669], [0, 0, 2414]]",0.0,0.0,0.0,0.0,0.0,0.0,0.44043057836161287,1.0,0.6115262824572514,0.5997116852225923,0.9795595351246902,0.0010369207776829148,0.43939365758392995,0.9818983399032178,0.0,0.0,1.0,0.4375114030286444,0.12205801860974275,0.44043057836161287,1.0,0.8985245901639344,0.0,0,,,,,,,,1.0,NAIVE_PRIOR,REV2_RO_05
5415,0.4332409972299169,0.3333333333333333,0.0,0.14441366574330564,0.3333333333333333,0.20152042262595027,0.997045244690674,"[[0, 0, 2330], [0, 0, 739], [0, 0, 2346]]",0.0,0.0,0.0,0.0,0.0,0.0,0.4332409972299169,1.0,0.6045612678778508,0.6088160503003124,0.9979102207600545,0.006839345746824321,0.4400803429767412,0.9803532288212989,0.0,0.0,1.0,0.43028624192059095,0.13647276084949214,0.4332409972299169,1.0,0.8931222167243938,0.0,0,,,,,,,,0.9444444444444444,NAIVE_PRIOR,REV2_RO_06
5859,0.4767025089605735,0.3554922808774606,0.05557342091785779,0.3171367655233753,0.3554922808774606,0.3325258904681685,0.9412869090288445,"[[1657, 0, 953], [289, 0, 328], [1496, 0, 1136]]",0.48140615920976176,0.6348659003831417,0.5475875743555849,0.0,0.0,0.0,0.47000413736036406,0.4316109422492401,0.44999009704892057,0.5895615193443534,0.9632554762745368,0.04005759554144887,0.43664491341912454,1.0181433909050517,0.5874722648916197,0.0,0.41252773510838026,0.445468509984639,0.10530807305000853,0.44922341696535245,1.0,0.9451524439425714,2.220446049250313e-16,19,0.11397968756273216,0.12534611213163166,0.12349282939931357,6.655602756334291,0.8421052631578947,0.02049316006009308,0.6842105263157895,1.0,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL,REV2_RO_01
5540,0.48411552346570397,0.3616074815746993,0.06953358968509764,0.3226244322460971,0.3616074815746993,0.34097344356341147,0.9245487364620939,"[[1396, 0, 1062], [209, 0, 385], [1202, 0, 1286]]",0.49732810830067686,0.5679414157851912,0.5302943969610636,0.0,0.0,0.0,0.47054518843761434,0.5168810289389068,0.49262593372917063,0.588946787955383,0.9605817479210905,0.029731085502814544,0.45468943495473807,1.013352950009756,0.5066787003610108,0.0,0.4933212996389892,0.44368231046931406,0.10722021660649819,0.4490974729241877,1.0,0.8974566661266807,2.220446049250313e-16,18,0.09224268693768287,0.08811285812083389,0.13031416542967986,5.104368146682531,0.8333333333333334,-0.0019008391030118444,0.5555555555555556,1.0,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL,REV2_RO_02
5511,0.4844855743059336,0.36472359926296866,0.07728295826352789,0.3228120736560833,0.36472359926296866,0.3405920665605542,0.9170749410270368,"[[1534, 0, 899], [308, 0, 320], [1314, 0, 1136]]",0.48605830164765523,0.6304973284011508,0.5489354088387906,0.0,0.0,0.0,0.4823779193205945,0.4636734693877551,0.472840790842872,0.5905191111245931,0.9646088400093545,0.03248257552455823,0.4520029987813754,1.00461077219843,0.57267283614589,0.0,0.42732716385410996,0.44148067501360916,0.11395391036109599,0.44456541462529486,1.0,0.8985814446437307,2.220446049250313e-16,18,0.1365016038690619,0.10853931700125524,0.09033441823255374,10.8964786968787,0.8888888888888888,0.03516489217450852,0.8888888888888888,1.0,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL,REV2_RO_03
5476,0.48739956172388604,0.3606646321008593,0.07408069721282919,0.3271991146806183,0.3606646321008593,0.3296609151697647,0.9282322863403945,"[[1823, 0, 634], [318, 0, 213], [1642, 0, 846]]",0.48189267776896644,0.7419617419617419,0.5842948717948717,0.0,0.0,0.0,0.49970466627288834,0.340032154340836,0.4046878737144224,0.5833301679700299,0.9511354622227715,0.04573465508603274,0.44166490663785335,1.0110824315515032,0.6908327246165084,0.0,0.3091672753834916,0.44868517165814464,0.09696859021183346,0.4543462381300219,1.0,0.8968227972486079,2.220446049250313e-16,18,0.15027697103891619,0.15076971516155596,0.10218861631745989,10.604533932017869,0.8888888888888888,0.03994494992951273,0.7777777777777778,1.0,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL,REV2_RO_04
