model_id,return_decile,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
stock_node_gwnet_feature_mask_l8,D3,450,0.0006388735576832712,0.024613558122784714,0.02527594820542389,0.8443561286129471,0.8244444444444444,0.0,0.0,0.0,0.0
stock_node_gwnet_feature_mask_l8,D4,450,0.00024978605707025043,0.015021278321122105,0.015804621383324894,0.7826407299705573,0.8244444444444444,0.0,0.0,0.0,0.0
stock_node_gwnet_feature_mask_l8,D5,450,6.677868258363656e-05,0.007131244517448863,0.008171822476267859,0.6569301113788081,0.8466666666666667,0.0,0.0,0.0,0.0
stock_node_gwnet_feature_mask_l8,D6,450,2.3851971929743118e-05,0.0037638476563410283,0.004883848065792292,872.084923125954,0.62,0.5,0.2573099415204678,0.33976833976833976,0.12189352986884615
stock_node_gwnet_feature_mask_l8,D7,450,0.00012318141667089962,0.00955853351676416,0.01109871238797094,1.8642302629052956,0.26666666666666666,1.0,0.26666666666666666,0.4210526315789474,0.0
stock_node_gwnet_feature_mask_l8,D8,450,0.00037468236262900234,0.018528312608961765,0.019356713631941823,1.2242410238321988,0.24,1.0,0.24,0.3870967741935484,0.0
stock_node_gwnet_feature_mask_l8,D9,450,0.0012933940245810048,0.035041282849593215,0.035963787684016334,1.151136613763428,0.15555555555555556,1.0,0.15555555555555556,0.2692307692307693,0.0
stock_node_gwnet_feature_mask_l8,D10,450,0.010040964025472113,0.09095233129958305,0.10020461079946429,1.0942964486412892,0.12,1.0,0.12,0.21428571428571425,0.0
stock_node_gwnet_fixed_industry_l8,D1,450,0.007097376906162377,0.07400465969410208,0.08424593109558691,0.8998984878904864,0.8955555555555555,0.0,0.0,0.0,0.0
stock_node_gwnet_fixed_industry_l8,D2,450,0.0015131955784837673,0.038107057456185825,0.03889981463302579,0.8686353313119703,0.8911111111111111,0.0,0.0,0.0,0.0
