model_id,industry_group,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
naive,原材料,405,0.0017556802165417014,0.030327648961381876,0.0419008378978476,0.9925925925925926,0.4074074074074074,0.4074074074074074,1.0,0.5789473684210525,0.0
naive,可选消费,405,0.002828223172760646,0.038145361632470835,0.053181041478713505,0.9629629629629629,0.4888888888888889,0.4888888888888889,1.0,0.6567164179104478,0.0
naive,工业,405,0.0014268899555563012,0.027784311282017256,0.03777419695448602,0.9851851851851852,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846153,0.0
naive,房地产,360,0.0019026046698502885,0.03290469481047083,0.04361885681503229,0.975,0.4583333333333333,0.4583333333333333,1.0,0.6285714285714286,0.0
naive,日常消费,360,0.0023882226582098856,0.034740625198658816,0.048869445036851866,0.9666666666666667,0.375,0.375,1.0,0.5454545454545454,0.0
naive,综合,225,0.0007957077499309504,0.02156333123488968,0.02820829221932711,0.9733333333333334,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0
naive,能源,225,0.0016877451545019909,0.026902045323513406,0.04108217563009524,0.9466666666666667,0.4533333333333333,0.4533333333333333,1.0,0.6238532110091742,0.0
naive,金融,135,0.002380316883338003,0.03553978854583365,0.048788491300080214,0.9555555555555556,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.0
stock_node_gwnet_bounded_cwgan_gp_l8,交通运输,360,0.001269391311550297,0.025739375381251862,0.03562851823399756,12.295250634228367,0.6388888888888888,0.48936170212765956,0.17829457364341086,0.2613636363636364,0.10588726972394476
stock_node_gwnet_bounded_cwgan_gp_l8,信息技术,405,0.003781389056490188,0.043481944875941085,0.06149300006090277,31.795730451793002,0.4419753086419753,0.32727272727272727,0.08695652173913043,0.13740458015267176,-0.1457876620303908
stock_node_gwnet_bounded_cwgan_gp_l8,公用事业,405,0.0009288584953389094,0.02340991146644045,0.030477179911187802,100.95626576314869,0.6049382716049383,0.6454545454545455,0.3697916666666667,0.47019867549668876,0.20958552012766574
stock_node_gwnet_bounded_cwgan_gp_l8,其他,405,0.002405426419603534,0.03441278134202466,0.049045146748720556,131.78120229725303,0.5950617283950618,0.5346534653465347,0.3157894736842105,0.39705882352941174,0.13120788863165886
stock_node_gwnet_bounded_cwgan_gp_l8,医疗健康,405,0.0035934646498625824,0.0373468517223775,0.059945514009495174,79.01477044710171,0.5407407407407407,0.45714285714285713,0.17777777777777778,0.256,0.011681633206491383
stock_node_gwnet_bounded_cwgan_gp_l8,原材料,405,0.0017268233083972818,0.02949701174619362,0.04155506357108941,28.543620393551475,0.6,0.5348837209302325,0.1393939393939394,0.22115384615384617,0.08941633570264772
stock_node_gwnet_bounded_cwgan_gp_l8,可选消费,405,0.002852134106654024,0.03753229212288936,0.053405375259930755,126.08170348625829,0.5432098765432098,0.7241379310344828,0.10606060606060606,0.18502202643171806,0.13069837731823952
stock_node_gwnet_bounded_cwgan_gp_l8,工业,405,0.001378569183250416,0.026894144127346586,0.037129088101519755,55.54607701789975,0.5851851851851851,0.625,0.16666666666666666,0.2631578947368421,0.133237010024753
stock_node_gwnet_bounded_cwgan_gp_l8,房地产,360,0.001786262480986003,0.031719417463237795,0.04226419857262176,39.94274507660661,0.6194444444444445,0.6707317073170732,0.3333333333333333,0.4453441295546558,0.23151489573860562
stock_node_gwnet_bounded_cwgan_gp_l8,日常消费,360,0.0023765045522707723,0.03334818716458455,0.04874940566069265,286.8925585073795,0.5888888888888889,0.32432432432432434,0.08888888888888889,0.13953488372093023,-0.03542774469443944
stock_node_gwnet_bounded_cwgan_gp_l8,综合,225,0.0007287930108195191,0.020899683352973694,0.0269961665948986,102.23334947220684,0.6533333333333333,0.4788732394366197,0.4533333333333333,0.4657534246575343,0.20963179894421963
stock_node_gwnet_bounded_cwgan_gp_l8,能源,225,0.0016482210207487856,0.026448499613648452,0.040598288396788175,260.410288636492,0.5822222222222222,0.5714285714285714,0.3137254901960784,0.40506329113924044,0.13655667190013338
stock_node_gwnet_bounded_cwgan_gp_l8,金融,135,0.002442226877576039,0.03624152985091006,0.0494188919096335,106.79043573121388,0.45185185185185184,0.4583333333333333,0.1527777777777778,0.22916666666666666,-0.069904098675135
stock_node_gwnet_feature_mask_l8,交通运输,360,0.0012779820949632447,0.025657979974898267,0.03574887543634407,21.792476968105802,0.6416666666666667,0.5,0.13178294573643412,0.20858895705521474,0.0954113387190951
stock_node_gwnet_feature_mask_l8,信息技术,405,0.0037238621460784996,0.04275531039147829,0.061023455704167555,60.71729171992804,0.49135802469135803,0.5116279069767442,0.10628019323671498,0.176,0.0003563167418432797
stock_node_gwnet_feature_mask_l8,公用事业,405,0.000919560505280391,0.023383805759389052,0.030324256054854684,99.6730942978651,0.6123456790123457,0.6635514018691588,0.3697916666666667,0.4749163879598662,0.22738175552537862
stock_node_gwnet_feature_mask_l8,其他,405,0.00244407228590574,0.03461150895160285,0.04943755946550901,89.59103595265861,0.5259259259259259,0.4146341463414634,0.2982456140350877,0.3469387755102041,-0.010146323524286063
stock_node_gwnet_feature_mask_l8,医疗健康,405,0.003637230595613806,0.037397990640350515,0.060309456933500954,91.85523258296558,0.5555555555555556,0.5,0.2611111111111111,0.34306569343065696,0.06146653600319047
stock_node_gwnet_feature_mask_l8,原材料,405,0.0016844640398278375,0.02917684868141936,0.041042222647267014,12.687378258559095,0.5901234567901235,0.4857142857142857,0.10303030303030303,0.16999999999999998,0.04901629731627433
stock_node_gwnet_feature_mask_l8,可选消费,405,0.002889157784497021,0.03774349122943445,0.05375088636010592,130.03749443775445,0.5481481481481482,0.7142857142857143,0.12626262626262627,0.2145922746781116,0.13868139782283462
stock_node_gwnet_feature_mask_l8,工业,405,0.001377823305644128,0.026822312344814164,0.03711904235893119,73.38240396939821,0.5506172839506173,0.47619047619047616,0.1111111111111111,0.1801801801801802,0.02173142926062534
stock_node_gwnet_feature_mask_l8,房地产,360,0.0018252249179818573,0.03211051287621049,0.042722651111346745,54.61065421930473,0.6,0.6329113924050633,0.30303030303030304,0.4098360655737705,0.18577756636658335
stock_node_gwnet_feature_mask_l8,日常消费,360,0.002411133183920086,0.0334679454991904,0.049103290968326004,254.923489232539,0.5888888888888889,0.3142857142857143,0.08148148148148149,0.12941176470588237,-0.04115547222147856
stock_node_gwnet_feature_mask_l8,综合,225,0.000723326219555566,0.020757568012922965,0.02689472475329625,63.89090235117356,0.6088888888888889,0.4084507042253521,0.38666666666666666,0.3972602739726028,0.10819705751959723
stock_node_gwnet_feature_mask_l8,能源,225,0.0017388588015877287,0.026794338730784715,0.04169962591664017,122.13340154323575,0.5377777777777778,0.48148148148148145,0.2549019607843137,0.3333333333333333,0.031774485665650797
stock_node_gwnet_feature_mask_l8,金融,135,0.0024133351482074467,0.03601264512269856,0.04912570761024666,70.8036419585058,0.4666666666666667,0.5,0.1388888888888889,0.2173913043478261,-0.02786391062876764
stock_node_gwnet_fixed_industry_l8,交通运输,360,0.0012760185008477492,0.025715717905162177,0.035721401160197355,19.18144517699311,0.6333333333333333,0.43478260869565216,0.07751937984496124,0.13157894736842105,0.04165086224435006
stock_node_gwnet_fixed_industry_l8,信息技术,405,0.0037128108847403764,0.042672582053763314,0.060932839132444634,50.55202480744632,0.49135802469135803,0.5142857142857142,0.08695652173913043,0.1487603305785124,0.001953259124265276
stock_node_gwnet_fixed_industry_l8,公用事业,405,0.000922753768316587,0.02345618724357333,0.030376862384331054,102.00334878966402,0.5975308641975309,0.6435643564356436,0.3385416666666667,0.4436860068259386,0.1956515556733072
stock_node_gwnet_fixed_industry_l8,其他,405,0.0024418654294223957,0.03460176141277227,0.04941523479072416,83.21087953642738,0.5259259259259259,0.4132231404958678,0.29239766081871343,0.3424657534246575,-0.01189270785055341
stock_node_gwnet_fixed_industry_l8,医疗健康,405,0.0036177833605982768,0.03729245273790169,0.06014801210845024,78.35323641043897,0.5580246913580247,0.5054945054945055,0.25555555555555554,0.3394833948339483,0.06614080650728649
stock_node_gwnet_fixed_industry_l8,原材料,405,0.0016900968222132368,0.029202482347623803,0.04111078717579167,15.042715608857803,0.6,0.5384615384615384,0.12727272727272726,0.20588235294117643,0.0870662633853003
